2025-03-04 11:33:44,411 - document_qa - DEBUG - log_config.py:49 - ENTER: __main__.query_document - args: [], kwargs: {}
2025-03-04 11:33:53,408 - document_qa - DEBUG - log_config.py:49 - ENTER: __main__.query_document - args: [], kwargs: {}
2025-03-04 11:34:06,309 - document_qa - DEBUG - log_config.py:75 - EXIT: __main__.query_document - execution time: 21.8951s - result: (<Response 115 bytes [200 OK]>, 200)
2025-03-04 11:34:19,032 - document_qa - DEBUG - log_config.py:75 - EXIT: __main__.query_document - execution time: 25.6242s - result: (<Response 115 bytes [200 OK]>, 200)
2025-03-04 11:35:03,696 - document_qa - DEBUG - log_config.py:49 - ENTER: __main__.query_document - args: [], kwargs: {}
2025-03-04 11:35:10,364 - document_qa - DEBUG - log_config.py:49 - ENTER: __main__.query_document - args: [], kwargs: {}
2025-03-04 11:35:36,156 - document_qa - DEBUG - log_config.py:75 - EXIT: __main__.query_document - execution time: 25.7922s - result: (<Response 247 bytes [200 OK]>, 200)
2025-03-04 11:35:36,649 - document_qa - DEBUG - log_config.py:75 - EXIT: __main__.query_document - execution time: 32.9528s - result: (<Response 247 bytes [200 OK]>, 200)
2025-03-04 11:35:57,055 - document_qa - DEBUG - log_config.py:49 - ENTER: __main__.query_document - args: [], kwargs: {}
2025-03-04 11:36:16,281 - document_qa - DEBUG - log_config.py:75 - EXIT: __main__.query_document - execution time: 19.2258s - result: (<Response 397 bytes [200 OK]>, 200)
2025-03-04 12:57:11,744 - document_qa - DEBUG - log_config.py:49 - ENTER: __main__.query_document - args: [], kwargs: {}
2025-03-04 12:57:29,536 - document_qa - DEBUG - log_config.py:75 - EXIT: __main__.query_document - execution time: 17.7918s - result: (<Response 247 bytes [200 OK]>, 200)
